0.135192,-0.00304912,0.00242875,-0.00163907
0.199203,-0.00608159,0.00523644,-0.00588041
0.263206,-0.00852598,0.00599119,-0.00424042
0.327248,0.00790459,0.00247354,-0.00679997
0.391237,-0.0037338,0.00307873,-0.00479631
0.455225,-0.00563619,0.00527881,-0.00880141
0.519329,0.00426525,0.00485723,-0.00913757
0.583293,-0.0130744,0.00425453,-0.00600924
0.649033,-0.00747461,0.00329457,-0.00672765
0.711102,-0.00340544,0.00297683,-0.00773934
0.775077,-0.00403098,0.00512142,-0.00965789
0.839118,0.00276001,0.00281972,-0.00903827
0.903132,-0.001368,0.00281637,-0.00800219
0.967206,0.0096982,0.00183664,-0.00976972
1.031,-0.00590879,0.00307943,-0.00937191
1.095,-0.00512444,0.00300177,-0.00991762
1.15904,0.00278451,0.000209887,-0.00915837
1.22308,-6.68159e-05,7.34184e-06,-0.00827042
1.28713,-0.000753274,-5.14715e-05,-0.0102517
1.35102,-0.00153329,1.49342e-05,-0.00837946
1.41506,-0.000753986,-0.00227968,-0.0125343
1.47916,0.00195772,-0.00287846,-0.00942039
1.5429,-0.00116475,-0.00275593,-0.0104131
1.60676,-0.0041756,-0.00251979,-0.00801439
1.67088,-0.00726957,-0.00227738,-0.00708795
1.73503,0.00688634,-0.00556145,-0.0137598
1.799,-0.00463575,-0.00293057,-0.00832066
1.86279,-0.00646838,-0.00466067,-0.00954039
1.92702,-0.00296123,-0.00306053,-0.00817484
1.99099,-0.00523168,-0.00471988,-0.00745463
2.05484,-0.00793005,-0.00492836,-0.00912512
2.11876,-0.0062211,-0.00510305,-0.00764842
2.18275,-0.00471634,-0.00303509,-0.00751431
2.24672,0.00223974,-0.00524557,-0.00646304
2.31076,0.00192537,-0.00558823,-0.00813874
2.37474,-0.00590978,-0.00512324,-0.00715236
2.439,0.00070972,-0.00337402,-0.00612236
2.50288,0.00246037,-0.00522921,-0.00386168
2.56668,-0.00713192,-0.00495241,-0.00389002
2.63057,0.000313869,-0.00550525,-0.0033161
2.69463,-0.00327463,-0.00307853,-0.00229406
2.75855,-0.00136731,-0.00714392,-0.00259746
2.8225,0.00208388,-0.00379845,-0.00313613
2.88653,-0.0045334,-0.00478646,0.00017953
2.95073,0.00707532,-0.00586993,-0.0035777
3.01486,-0.00188749,-0.00530644,-0.000190803
3.0786,-0.00933802,-0.00483819,0.0014721
3.14292,0.00697679,-0.00590656,-0.00130158
3.2067,-0.00664699,-0.00280439,0.00330562
3.27046,-0.000799437,-0.00497437,0.000519718
3.33445,0.000174964,-0.00535669,0.00217526
