10.2453,8.1839e-06,0.000127937
10.3093,2.45617e-05,0.000255926
10.3733,4.91347e-05,0.000383932
10.4371,8.17635e-05,0.00051151
10.5011,0.000122703,0.000639539
10.5652,0.00017191,0.000767727
10.6292,0.00022921,0.000895675
10.6932,0.000294747,0.00102371
10.757,0.00036825,0.00115139
10.8212,0.000450339,0.00127969
10.8853,0.000540536,0.00140782
10.9491,0.000638594,0.00153554
11.0131,0.000745046,0.00166352
11.0772,0.000859782,0.00179161
11.141,0.000982242,0.00191922
11.205,0.00111345,0.00204739
11.2691,0.00125269,0.0021754
11.333,0.0014,0.00230332
11.397,0.00155562,0.00243133
11.461,0.00171945,0.00255935
11.5252,0.00189189,0.00268767
11.5892,0.002072,0.00281561
11.653,0.00225976,0.0029432
11.7169,0.00245622,0.00307114
11.7809,0.00266086,0.00319907
11.8449,0.00287391,0.00332714
11.909,0.00309527,0.00345527
11.9734,0.00332629,0.00358418
12.0368,0.00356156,0.00371098
12.1009,0.00380762,0.00383916
12.1648,0.00406087,0.00396685
12.2291,0.00432446,0.00409557
12.293,0.00459409,0.00422326
12.3567,0.00487138,0.00435072
12.4208,0.00515819,0.0044788
12.4849,0.00545387,0.00460715
12.5487,0.00575583,0.00473471
12.6128,0.00606737,0.00486284
12.6789,0.00639783,0.00499515
12.7566,0.00679797,0.00515053
12.8207,0.00713615,0.00527866
12.885,0.00748383,0.00540726
12.9486,0.00783606,0.00553454
13.0126,0.00819849,0.00566255
13.0766,0.00856914,0.00579057
13.1406,0.00894796,0.00591858
13.2047,0.00933518,0.00604666
13.2687,0.00973039,0.00617467
13.3328,0.0101344,0.00630286
13.3967,0.0105456,0.00643076
13.4606,0.0109644,0.00655847
13.5248,0.0113935,0.0066868
13.5887,0.0118295,0.00681477
13.6526,0.0122729,0.0069425
13.7166,0.0127253,0.00707048
13.7804,0.013185,0.00719818
13.8448,0.0136564,0.00732688
13.9088,0.0141334,0.00745485
13.9725,0.0146165,0.00758228
14.0366,0.0151109,0.00771052
14.1007,0.015613,0.00783861
14.1645,0.0161216,0.00796631
14.2286,0.0166403,0.00809446
14.2926,0.0171667,0.0082225
14.3564,0.0176997,0.00835016
14.4204,0.0182419,0.00847808
14.4844,0.0187928,0.0086061
14.5487,0.019354,0.0087346
14.6125,0.0199199,0.00886231
14.6766,0.0204962,0.00899051
14.7405,0.0210788,0.00911831
14.8045,0.0216709,0.00924637
14.8683,0.0222688,0.00937393
14.9325,0.0228788,0.00950232
14.9965,0.0234952,0.00963035
15.0602,0.0241166,0.0097577
15.1242,0.0247491,0.00988567
15.1884,0.0253918,0.010014
15.2522,0.0260302,0.01
15.3162,0.0266704,0.01
15.3802,0.0273103,0.01
15.4443,0.0279514,0.01
15.5083,0.0285915,0.01
15.5721,0.0292295,0.01
15.6362,0.0298701,0.01
15.7004,0.0305119,0.01
15.7642,0.0311496,0.01
15.8282,0.03179,0.01
15.8923,0.0324311,0.01
15.9561,0.033069,0.01
16.0201,0.0337091,0.01
16.0841,0.0343488,0.01
16.1483,0.0349907,0.01
16.2123,0.0356306,0.01
16.2763,0.0362707,0.01
16.3402,0.0369102,0.01
16.4042,0.0375502,0.01
16.468,0.0381877,0.01
16.5322,0.0388298,0.01
16.5963,0.0394714,0.01
16.66,0.0401079,0.01
16.724,0.0407482,0.01
16.788,0.041388,0.01
16.8519,0.0420273,0.01
16.9159,0.0426671,0.01
16.9799,0.0433071,0.01
17.0441,0.0439496,0.01
17.1082,0.0445906,0.01
17.1719,0.0452272,0.01
17.2361,0.0458692,0.01
17.3001,0.0465086,0.01
17.3639,0.0471475,0.01
17.4281,0.0477893,0.01
17.492,0.0484281,0.01
17.5558,0.0490665,0.01
17.6199,0.0497069,0.01
17.6839,0.0503468,0.01
17.7481,0.0509888,0.01
17.8119,0.0516276,0.01
17.8757,0.0522654,0.01
17.9399,0.0529072,0.01
18.004,0.0535481,0.01
18.0678,0.0541859,0.01
18.1318,0.0548263,0.01
18.196,0.0554678,0.01
18.2597,0.056105,0.01
18.3237,0.056745,0.01
18.3878,0.0573864,0.01
18.4519,0.0580269,0.01
18.5159,0.058667,0.01
18.5797,0.0593053,0.01
18.6438,0.0599462,0.01
18.7078,0.060586,0.01
18.7716,0.0612241,0.01
18.8356,0.0618643,0.01
18.8999,0.0625067,0.01
18.9636,0.063144,0.01
19.0276,0.0637841,0.01
19.0918,0.0644261,0.01
19.1555,0.0650631,0.01
19.2196,0.0657045,0.01
19.2835,0.0663431,0.01
19.3477,0.0669852,0.01
19.4117,0.0676253,0.01
19.4755,0.0682634,0.01
19.5396,0.068904,0.01
19.6036,0.0695443,0.01
19.6674,0.070182,0.01
19.7314,0.0708223,0.01
19.7954,0.0714623,0.01
19.8594,0.0721025,0.01
19.9234,0.0727423,0.01
19.9874,0.0733817,0.01
20.0516,0.0740239,0.01
20.1154,0.0746625,0.01
20.1796,0.0753039,0.01
20.2435,0.0759435,0.01
20.3075,0.0765828,0.01
20.3714,0.0772217,0.01
20.4353,0.0778614,0.01
20.4994,0.0785025,0.01
20.5633,0.0791407,0.01
20.6273,0.0797806,0.01
20.6913,0.0804208,0.01
20.7553,0.0810614,0.01
20.8193,0.081701,0.01
20.8831,0.0823393,0.01
20.9473,0.0829814,0.01
21.0114,0.0836221,0.01
21.0751,0.084259,0.01
21.1394,0.0849019,0.01
21.2034,0.0855418,0.01
21.2671,0.0861787,0.01
21.3311,0.0868188,0.01
21.3951,0.0874588,0.01
21.459,0.0880977,0.01
21.523,0.0887381,0.01
21.587,0.089378,0.01
21.6512,0.0900205,0.01
21.7152,0.0906603,0.01
21.779,0.0912982,0.01
21.8431,0.0919396,0.01
21.9072,0.0925804,0.01
21.971,0.0932183,0.01
22.0349,0.0938572,0.01
22.0991,0.0944993,0.01
22.1629,0.095137,0.01
22.2269,0.0957774,0.01
22.2909,0.0964174,0.01
22.3551,0.0970593,0.01
22.419,0.0976982,0.01
22.4828,0.098336,0.01
22.547,0.0989781,0.01
22.611,0.0996181,0.01
22.6748,0.100256,0.01
22.7389,0.100897,0.01
22.803,0.101538,0.01
22.8667,0.102175,0.01
22.9307,0.102816,0.01
22.9947,0.103455,0.01
23.0587,0.104096,0.01
